equipment;device;operation;reqsize;cache;repetition;dataamount;bandwidth;tempo
PC;SSD2;write;32;0;3;14460911616.0;241013760.0;60.001
PC;SSD2;write;32;0;4;16704864256.0;278411264.0;60.001
PC;SSD2;write;32;0;5;16758341632.0;279303168.0;60.001
PC;SSD2;write;32;0;6;16144924672.0;269072384.0;60.001
PC;SSD2;write;32;0;7;16039018496.0;267318272.0;60.001
PC;SSD2;write;32;0;8;16865296384.0;281027584.0;60.014
PC;SSD2;write;32;0;9;16733175808.0;278884352.0;60.001
PC;SSD2;write;4096;1;10;16919822336.0;279168000.0;60.608
PC;SSD2;write;4096;1;1;16961765376.0;275106816.0;61.655
PC;SSD2;write;4096;1;2;14558429184.0;240638976.0;60.499
PC;SSD2;write;4096;1;3;15586033664.0;243466240.0;64.017
PC;SSD2;write;4096;1;4;15850274816.0;258669568.0;61.276
PC;SSD2;write;4096;1;5;15812526080.0;247004160.0;64.017
PC;SSD2;write;4096;1;6;16487809024.0;259801088.0;63.463
PC;SSD2;write;4096;1;7;16517169152.0;275249152.0;60.008
PC;SSD2;write;4096;1;8;14831058944.0;244281344.0;60.713
PC;SSD2;write;4096;1;9;15950938112.0;265768960.0;60.018
PC;SSD2;write;4096;0;10;15778971648.0;262951936.0;60.007
PC;SSD2;write;4096;0;1;13388218368.0;222761984.0;60.101
PC;SSD2;write;4096;0;2;16026435584.0;267062272.0;60.01
PC;SSD2;write;4096;0;3;15590227968.0;259810304.0;60.006
PC;SSD2;write;4096;0;4;13497270272.0;224923648.0;60.008
PC;SSD2;write;4096;0;5;13371441152.0;222853120.0;60.001
PC;SSD2;write;4096;0;6;14935916544.0;248910848.0;60.005
PC;SSD2;write;4096;0;7;13795065856.0;229902336.0;60.004
PC;SSD2;write;4096;0;8;12910067712.0;215131136.0;60.01
PC;SSD2;write;4096;0;9;15216934912.0;253569024.0;60.011
