Address;USB0::0x0957::0x1724::MY45003122::0::INSTR;
Model;DSO6014A;
Serial Number:;MY45003122;
Firmware Version;06.20.0000;
Start Time;2017-08-17 21:39:37.876;
Stop Time;2017-08-17 22:32:24.377;
Sample Period;0,5;
;;
Time (s);RMS(1) ();RMS(2) ()
2017-08-17 21:41:07.877;222,8;0,1862
2017-08-17 21:41:08.376;222,4;0,1862
2017-08-17 21:41:08.876;222,4;0,185
2017-08-17 21:41:09.376;222,5;0,1842
2017-08-17 21:41:09.876;222,5;0,1854
2017-08-17 21:41:10.376;222,7;0,186
2017-08-17 21:41:10.876;222,6;0,186
2017-08-17 21:41:11.376;222,6;0,1858
2017-08-17 21:41:11.876;222,6;0,1851
2017-08-17 21:41:12.376;222,7;0,1857
2017-08-17 21:41:12.876;222,6;0,184
2017-08-17 21:41:13.376;222,4;0,1856
2017-08-17 21:41:13.876;222,6;0,1849
2017-08-17 21:41:14.376;222,5;0,1852
2017-08-17 21:41:14.876;222,8;0,1839
2017-08-17 21:41:15.376;222,5;0,1853
2017-08-17 21:41:15.876;222,6;0,1851
2017-08-17 21:41:16.376;222,5;0,1848
2017-08-17 21:41:16.876;222,5;0,1851
2017-08-17 21:41:17.376;222,6;0,1834
2017-08-17 21:41:17.876;222,8;0,1841
2017-08-17 21:41:18.376;222,8;0,1848
2017-08-17 21:41:18.876;222,5;0,1853
2017-08-17 21:41:19.376;222,5;0,1854
2017-08-17 21:41:19.878;222,5;0,1836
2017-08-17 21:41:20.377;222,3;0,1862
2017-08-17 21:41:20.877;222,4;0,1848
2017-08-17 21:41:21.376;222,4;0,185
2017-08-17 21:41:21.876;222,4;0,186
2017-08-17 21:41:22.376;222,6;0,1859
2017-08-17 21:41:22.876;222,5;0,1862
2017-08-17 21:41:23.377;222,2;0,189
2017-08-17 21:41:23.877;222,5;0,1856
2017-08-17 21:41:24.377;222,3;0,1858
2017-08-17 21:41:24.877;222,5;0,185
2017-08-17 21:41:25.377;222,7;0,1853
2017-08-17 21:41:25.876;222,3;0,1848
2017-08-17 21:41:26.376;222,5;0,1852
2017-08-17 21:41:26.876;222,4;0,1867
2017-08-17 21:41:27.376;222,6;0,1843
2017-08-17 21:41:27.876;222,5;0,185
2017-08-17 21:41:28.376;222,4;0,1851
2017-08-17 21:41:28.876;222,7;0,1855
2017-08-17 21:41:29.376;222,6;0,1843
2017-08-17 21:41:29.876;222,5;0,1849
2017-08-17 21:41:30.376;222,6;0,1869
2017-08-17 21:41:30.877;222,4;0,1854
2017-08-17 21:41:31.377;222,3;0,1877
2017-08-17 21:41:31.876;222,4;0,1855
2017-08-17 21:41:32.376;222,2;0,1856
2017-08-17 21:41:32.876;222,5;0,1856
2017-08-17 21:41:33.376;222,6;0,1848
2017-08-17 21:41:33.876;222,5;0,184
2017-08-17 21:41:34.376;222,4;0,1849
2017-08-17 21:41:34.876;222,3;0,1851
2017-08-17 21:41:35.376;222,5;0,1844
2017-08-17 21:41:35.876;222,5;0,1853
2017-08-17 21:41:36.376;222,4;0,1853
2017-08-17 21:41:36.877;222,5;0,1849
2017-08-17 21:41:37.378;222,7;0,1844
2017-08-17 21:41:37.876;222,6;0,1857
2017-08-17 21:41:38.376;222,5;0,1847
2017-08-17 21:41:38.876;222,7;0,186
2017-08-17 21:41:39.376;222,7;0,1848
2017-08-17 21:41:39.876;222,7;0,1864
2017-08-17 21:41:40.376;222,5;0,1848
2017-08-17 21:41:40.877;222,7;0,1854
2017-08-17 21:41:41.377;222,7;0,1846
2017-08-17 21:41:41.877;222,5;0,1845
2017-08-17 21:41:42.377;222,6;0,1849
2017-08-17 21:41:42.876;222,5;0,185
2017-08-17 21:41:43.376;222,5;0,1843
2017-08-17 21:41:43.876;222,5;0,1853
2017-08-17 21:41:44.376;222,5;0,1845
2017-08-17 21:41:44.876;222,5;0,1858
2017-08-17 21:41:45.376;222;0,1835
2017-08-17 21:41:45.876;222,3;0,1851
2017-08-17 21:41:46.376;222,3;0,185
2017-08-17 21:41:46.876;222,4;0,1854
2017-08-17 21:41:47.376;222,2;0,185
2017-08-17 21:41:47.876;222,5;0,1845
2017-08-17 21:41:48.376;222,7;0,1851
2017-08-17 21:41:48.877;222,4;0,1858
2017-08-17 21:41:49.378;222,5;0,1857
2017-08-17 21:41:49.877;222,7;0,1861
2017-08-17 21:41:50.377;222,6;0,1845
2017-08-17 21:41:50.876;222,6;0,1853
2017-08-17 21:41:51.376;222,3;0,185
2017-08-17 21:41:51.876;222,5;0,1854
2017-08-17 21:41:52.376;222,6;0,1852
2017-08-17 21:41:52.876;222,7;0,1849
2017-08-17 21:41:53.376;222,3;0,1855
2017-08-17 21:41:53.876;222,6;0,1845
2017-08-17 21:41:54.377;222,6;0,1846
2017-08-17 21:41:54.877;223;0,1842
2017-08-17 21:41:55.376;222,7;0,1849
2017-08-17 21:41:55.876;222,6;0,1845
2017-08-17 21:41:56.376;222,8;0,1855
2017-08-17 21:41:56.876;222,5;0,187
2017-08-17 21:41:57.376;223;0,1848
2017-08-17 21:41:57.876;222,6;0,1867
2017-08-17 21:41:58.377;222,8;0,1846
2017-08-17 21:41:58.877;223,1;0,1855
2017-08-17 21:41:59.377;222,7;0,1852
2017-08-17 21:41:59.876;222,8;0,1856
2017-08-17 21:42:00.377;222,7;0,1857
2017-08-17 21:42:00.877;222,9;0,1859
2017-08-17 21:42:01.377;222,6;0,1852
2017-08-17 21:42:01.877;222,8;0,1855
2017-08-17 21:42:02.377;222,8;0,1855
2017-08-17 21:42:02.876;222,9;0,1853
2017-08-17 21:42:03.376;222,9;0,186
2017-08-17 21:42:03.876;222,7;0,1856
2017-08-17 21:42:04.376;222,6;0,1857
2017-08-17 21:42:04.876;222,8;0,1847
2017-08-17 21:42:05.376;222,9;0,1846
2017-08-17 21:42:05.876;222,8;0,1852
2017-08-17 21:42:06.376;222,7;0,1856
2017-08-17 21:42:06.876;223,1;0,1858
2017-08-17 21:42:07.376;223,2;0,1855
2017-08-17 21:42:07.876;223,1;0,1851
2017-08-17 21:42:08.376;223;0,1845
2017-08-17 21:42:08.876;223;0,1805
2017-08-17 21:42:09.376;222,9;0,1822
2017-08-17 21:42:09.876;222,8;0,1804
