operation;reqsize;cache;repetition;measurement;power_cpu;power_ram
randread;32;0;4;45;36.7;4.71
randread;32;0;4;46;36.7;4.64
randread;32;0;4;47;38.8;4.66
randread;32;0;4;48;41.2;4.57
randread;32;0;4;49;41.1;4.66
randread;32;0;4;50;37.5;4.59
randread;32;0;4;51;38.6;4.61
randread;32;0;4;52;37.9;4.63
randread;32;0;4;53;40.4;4.55
randread;32;0;4;54;39.3;4.63
randread;32;0;4;55;38.8;4.68
randread;32;0;4;56;38.4;4.66
randread;32;0;4;57;36.9;4.66
randread;32;0;4;58;38.7;4.57
randread;32;0;4;59;38.6;4.62
randwrite;32;1;1;0;38.2;5.03
randwrite;32;1;1;1;37.5;4.69
randwrite;32;1;1;2;37.5;4.58
randwrite;32;1;1;3;37.8;5.52
randwrite;32;1;1;4;37.9;5.71
randwrite;32;1;1;5;38.0;5.69
randwrite;32;1;1;6;37.8;5.7
randwrite;32;1;1;7;38.4;5.38
randwrite;32;1;1;8;39.5;5.86
randwrite;32;1;1;9;41.4;6.14
randwrite;32;1;1;10;41.3;6.16
randwrite;32;1;1;11;41.2;6.06
randwrite;32;1;1;12;38.8;5.55
randwrite;32;1;1;13;37.9;5.24
randwrite;32;1;1;14;38.8;5.19
randwrite;32;1;1;15;39.2;5.21
randwrite;32;1;1;16;37.2;5.21
randwrite;32;1;1;17;37.0;5.17
randwrite;32;1;1;18;36.8;5.11
randwrite;32;1;1;19;37.0;4.97
randwrite;32;1;1;20;38.7;4.98
randwrite;32;1;1;21;36.7;4.89
randwrite;32;1;1;22;38.3;4.93
randwrite;32;1;1;23;38.3;4.94
randwrite;32;1;1;24;37.7;4.92
randwrite;32;1;1;25;36.2;4.89
randwrite;32;1;1;26;37.1;4.91
randwrite;32;1;1;27;38.2;4.93
randwrite;32;1;1;28;36.1;4.93
randwrite;32;1;1;29;36.0;4.82
randwrite;32;1;1;30;38.2;4.85
randwrite;32;1;1;31;36.0;4.9
randwrite;32;1;1;32;36.1;4.86
randwrite;32;1;1;33;35.5;4.8
randwrite;32;1;1;34;36.5;5.11
randwrite;32;1;1;35;35.9;4.87
randwrite;32;1;1;36;37.6;4.95
randwrite;32;1;1;37;35.9;4.91
randwrite;32;1;2;0;38.0;4.7
randwrite;32;1;2;1;37.7;4.59
randwrite;32;1;2;2;37.6;4.59
randwrite;32;1;2;3;37.9;5.34
randwrite;32;1;2;4;37.9;5.59
randwrite;32;1;2;5;38.0;5.59
randwrite;32;1;2;6;38.0;5.67
randwrite;32;1;2;7;38.6;5.72
randwrite;32;1;2;8;43.2;5.98
randwrite;32;1;2;9;43.1;5.85
randwrite;32;1;2;10;41.4;5.9
randwrite;32;1;2;11;40.8;5.81
randwrite;32;1;2;12;37.9;5.18
randwrite;32;1;2;13;37.7;5.14
randwrite;32;1;2;14;39.3;5.1
randwrite;32;1;2;15;39.2;5.08
randwrite;32;1;2;16;39.3;5.07
randwrite;32;1;2;17;39.3;5.1
randwrite;32;1;2;18;36.3;4.92
randwrite;32;1;2;19;36.0;4.86
randwrite;32;1;2;20;35.8;4.84
randwrite;32;1;2;21;38.2;4.89
randwrite;32;1;2;22;35.8;4.89
randwrite;32;1;2;23;35.8;4.87
randwrite;32;1;2;24;38.3;4.85
randwrite;32;1;2;25;37.1;4.85
randwrite;32;1;2;26;38.2;4.89
randwrite;32;1;2;27;35.6;4.82
randwrite;32;1;2;28;35.6;4.82
randwrite;32;1;2;29;37.9;4.83
randwrite;32;1;2;30;35.5;4.82
randwrite;32;1;2;31;38.2;4.85
randwrite;32;1;2;32;38.2;4.89
randwrite;32;1;2;33;38.4;4.89
randwrite;32;1;2;34;37.9;4.9
randwrite;32;1;2;35;39.2;4.91
randwrite;32;1;2;36;36.7;4.89
randwrite;32;1;2;37;36.2;4.89
randwrite;32;1;3;0;37.8;4.61
randwrite;32;1;3;1;37.7;4.55
randwrite;32;1;3;2;37.6;4.51
randwrite;32;1;3;3;38.0;5.48
randwrite;32;1;3;4;38.6;5.66
randwrite;32;1;3;5;38.5;5.64
randwrite;32;1;3;6;37.9;5.56
randwrite;32;1;3;7;38.6;5.62
randwrite;32;1;3;8;40.7;6.06
