operation;reqsize;cache;repetition;measurement;power_cpu;power_ram
randwrite;32;1;4;0;36.9;4.63
randwrite;32;1;4;1;37.9;4.75
randwrite;32;1;4;2;40.3;5.67
randwrite;32;1;4;3;40.9;6.51
randwrite;32;1;4;4;40.9;6.49
randwrite;32;1;4;5;40.9;6.51
randwrite;32;1;4;6;40.9;6.51
randwrite;32;1;4;7;41.2;6.56
randwrite;32;1;4;8;37.5;5.81
randwrite;32;1;4;9;41.4;6.5
randwrite;32;1;4;10;42.1;6.59
randwrite;32;1;4;11;40.9;6.44
randwrite;32;1;4;12;37.9;5.83
randwrite;32;1;4;13;37.6;5.77
randwrite;32;1;4;14;36.5;5.22
randwrite;32;1;4;15;36.5;5.1
randwrite;32;1;4;16;36.5;5.18
randwrite;32;1;4;17;36.6;5.25
randwrite;32;1;4;18;36.0;5.1
randwrite;32;1;4;19;35.7;4.96
randwrite;32;1;4;20;35.6;4.98
randwrite;32;1;4;21;35.6;4.91
randwrite;32;1;4;22;35.6;4.94
randwrite;32;1;4;23;35.4;4.93
randwrite;32;1;4;24;34.7;4.84
randwrite;32;1;4;25;34.5;4.83
randwrite;32;1;4;26;34.5;4.83
randwrite;32;1;4;27;34.8;4.82
randwrite;32;1;4;28;34.5;4.85
randwrite;32;1;4;29;34.4;4.75
randwrite;32;1;4;30;34.2;4.76
randwrite;32;1;4;31;34.7;4.81
randwrite;32;1;4;32;34.5;4.81
randwrite;32;1;4;33;33.9;4.73
randwrite;32;1;4;34;35.6;4.93
randwrite;32;1;4;35;36.5;4.88
randwrite;32;0;1;0;36.4;4.68
randwrite;32;0;1;1;37.0;4.57
randwrite;32;0;1;2;37.5;4.5
randwrite;32;0;1;3;40.2;4.62
randwrite;32;0;1;4;36.7;4.57
randwrite;32;0;1;5;37.2;4.56
randwrite;32;0;1;6;36.2;4.55
randwrite;32;0;1;7;36.1;4.55
randwrite;32;0;1;8;37.2;4.54
randwrite;32;0;1;9;38.8;4.57
randwrite;32;0;1;10;36.3;4.56
randwrite;32;0;1;11;37.0;4.54
randwrite;32;0;1;12;37.8;4.55
randwrite;32;0;1;13;38.1;4.55
randwrite;32;0;1;14;35.9;4.53
randwrite;32;0;1;15;38.2;4.55
