equipment;repetition;operation;size;bandwidth
CUBIE;1;read;8.39;953.14
CUBIE;1;read;1.05;951.81
CUBIE;1;read;4.19;928.05
CUBIE;1;read;268.44;966.89
CUBIE;1;read;134.22;965.06
CUBIE;1;read;0.065536;1266.34
CUBIE;1;write;0.131072;2241.6
CUBIE;1;write;0.000512;3642.83
CUBIE;1;write;536.87;283.73
CUBIE;1;write;0.004096;3904.4
CUBIE;1;write;0.001024;3772.78
CUBIE;1;write;33.55;286.35
CUBIE;1;write;0.016384;3891.64
CUBIE;1;write;0.008192;3926.18
CUBIE;1;write;0.262144;952.16
CUBIE;1;write;0.524288;401.75
CUBIE;1;write;2.1;274.32
CUBIE;1;write;0.032768;3906.47
CUBIE;1;write;1073.74;285.18
CUBIE;1;write;67.11;284.02
CUBIE;1;write;16.78;286.99
CUBIE;1;write;0.002048;3843.22
CUBIE;1;write;8.39;285.05
CUBIE;1;write;1.05;293.43
CUBIE;1;write;4.19;278.56
CUBIE;1;write;268.44;285.12
CUBIE;1;write;134.22;285.1
CUBIE;1;write;0.065536;2466.07
CUBIE;2;read;0.131072;1261.01
CUBIE;2;read;0.000512;1320.67
CUBIE;2;read;536.87;963.6
CUBIE;2;read;0.004096;1330.76
CUBIE;2;read;0.001024;1327.09
CUBIE;2;read;33.55;969.56
CUBIE;2;read;0.016384;1332.61
CUBIE;2;read;0.008192;1332.2
CUBIE;2;read;0.262144;1054.4
CUBIE;2;read;0.524288;983.82
CUBIE;2;read;2.1;948.37
CUBIE;2;read;0.032768;1268.09
CUBIE;2;read;1073.74;974.02
CUBIE;2;read;67.11;974.91
CUBIE;2;read;16.78;965.1
CUBIE;2;read;0.002048;1329.51
CUBIE;2;read;8.39;953.14
CUBIE;2;read;1.05;953.42
CUBIE;2;read;4.19;933.52
CUBIE;2;read;268.44;963.18
CUBIE;2;read;134.22;973.52
CUBIE;2;read;0.065536;1271.25
CUBIE;2;write;0.131072;2246.12
CUBIE;2;write;0.000512;3642.47
CUBIE;2;write;536.87;286.55
CUBIE;2;write;0.004096;3912.42
CUBIE;2;write;0.001024;3794.21
CUBIE;2;write;33.55;286.85
CUBIE;2;write;0.016384;3940.34
CUBIE;2;write;0.008192;3930.9
CUBIE;2;write;0.262144;1188.11
CUBIE;2;write;0.524288;413.23
CUBIE;2;write;2.1;282.67
CUBIE;2;write;0.032768;3238.25
CUBIE;2;write;1073.74;286.72
CUBIE;2;write;67.11;284.22
CUBIE;2;write;16.78;287.26
CUBIE;2;write;0.002048;3873.89
CUBIE;2;write;8.39;284.86
CUBIE;2;write;1.05;294.25
CUBIE;2;write;4.19;281.12
CUBIE;2;write;268.44;284.21
CUBIE;2;write;134.22;287.0
CUBIE;2;write;0.065536;2464.4
CUBIE;3;read;0.131072;1272.78
CUBIE;3;read;0.000512;1319.0
CUBIE;3;read;536.87;974.06
CUBIE;3;read;0.004096;1330.51
CUBIE;3;read;0.001024;1327.18
CUBIE;3;read;33.55;971.38
CUBIE;3;read;0.016384;1329.79
CUBIE;3;read;0.008192;1332.68
CUBIE;3;read;0.262144;1058.53
CUBIE;3;read;0.524288;981.14
CUBIE;3;read;2.1;935.39
CUBIE;3;read;0.032768;1270.22
CUBIE;3;read;1073.74;963.97
CUBIE;3;read;67.11;973.68
CUBIE;3;read;16.78;956.78
CUBIE;3;read;0.002048;1322.38
CUBIE;3;read;8.39;951.31
CUBIE;3;read;1.05;965.39
CUBIE;3;read;4.19;938.01
CUBIE;3;read;268.44;972.75
CUBIE;3;read;134.22;948.64
CUBIE;3;read;0.065536;1251.0
CUBIE;3;write;0.131072;2239.93
CUBIE;3;write;0.000512;3646.11
CUBIE;3;write;536.87;284.26
CUBIE;3;write;0.004096;3909.21
CUBIE;3;write;0.001024;3790.3
CUBIE;3;write;33.55;288.1
CUBIE;3;write;0.016384;3939.49
CUBIE;3;write;0.008192;3935.63
CUBIE;3;write;0.262144;1396.78
CUBIE;3;write;0.524288;387.43
CUBIE;3;write;2.1;278.99
CUBIE;3;write;0.032768;3860.6
CUBIE;3;write;1073.74;286.78
CUBIE;3;write;67.11;284.17
CUBIE;3;write;16.78;285.17
CUBIE;3;write;0.002048;3868.98
CUBIE;3;write;8.39;284.38
CUBIE;3;write;1.05;291.76
CUBIE;3;write;4.19;279.36
CUBIE;3;write;268.44;284.28
CUBIE;3;write;134.22;286.83
CUBIE;3;write;0.065536;2510.32
CUBIE;4;read;0.131072;1255.66
