equipment;device;operation;reqsize;cache;repetition;measurement;freq0;freq1;freq2;freq3;freq4;freq5;freq6;freq7
pc;ssd2;write;32;0;5;6;3000;3000;2000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;5;7;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;5;8;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;5;9;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;5;10;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;5;11;3000;3000;2000;3000;3000;3000;2000;3000
pc;ssd2;write;32;0;5;12;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;5;13;3000;3000;3000;3000;3000;2000;3000;3000
pc;ssd2;write;32;0;5;14;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;5;15;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;5;16;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;5;17;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;5;18;3000;3000;2000;3000;3000;2000;2000;3000
pc;ssd2;write;32;0;5;19;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;5;20;3000;3000;2000;2000;3000;3000;3000;3000
pc;ssd2;write;32;0;5;21;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;5;22;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;5;23;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;5;24;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;5;25;2000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;5;26;3000;3000;2000;2000;3000;3000;3000;3000
pc;ssd2;write;32;0;5;27;3000;3000;3000;3000;3000;3000;2000;3000
pc;ssd2;write;32;0;5;28;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;5;29;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;5;30;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;5;31;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;5;32;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;5;33;3000;2000;2000;2000;3000;3000;2000;3000
pc;ssd2;write;32;0;5;34;3000;2000;2000;3000;3000;2000;2000;3000
pc;ssd2;write;32;0;5;35;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;5;36;3000;3000;3000;3000;3000;3000;3000;2000
pc;ssd2;write;32;0;5;37;3000;3000;3000;3000;3000;3000;3000;2000
pc;ssd2;write;32;0;5;38;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;5;39;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;5;40;2000;2000;3000;3000;3000;2000;3000;3000
pc;ssd2;write;32;0;5;41;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;5;42;3000;3000;3000;3000;3000;3000;3000;2000
pc;ssd2;write;32;0;5;43;3000;3000;3000;3000;3000;3000;3000;2000
pc;ssd2;write;32;0;5;44;3000;2000;3000;2000;3000;3000;3000;2000
pc;ssd2;write;32;0;5;45;3000;3000;3000;3000;3000;3000;3000;2000
pc;ssd2;write;32;0;5;46;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;5;47;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;5;48;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;5;49;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;5;50;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;5;51;3000;3000;3000;2000;3000;3000;3000;3000
pc;ssd2;write;32;0;5;52;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;5;53;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;5;54;3000;3000;3000;2000;3000;2000;3000;3000
pc;ssd2;write;32;0;5;55;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;5;56;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;5;57;2000;3000;2000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;5;58;3000;3000;2000;2000;3000;3000;3000;3000
pc;ssd2;write;32;0;5;59;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;5;60;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;5;61;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;5;0;3000;3000;3000;3000;3000;3000;2000;3000
pc;ssd2;read;32;0;5;1;3000;3000;3000;3000;2000;3000;3000;3000
pc;ssd2;read;32;0;5;2;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;5;3;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;5;4;3000;3000;2000;3000;3000;2000;3000;2000
pc;ssd2;read;32;0;5;5;3000;3000;3000;3000;2000;3000;3000;3000
pc;ssd2;read;32;0;5;6;3000;3000;3000;3000;3000;3000;2000;3000
pc;ssd2;read;32;0;5;7;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;5;8;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;5;9;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;5;10;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;5;11;3000;3000;2000;2000;3000;3000;3000;3000
pc;ssd2;read;32;0;5;12;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;5;13;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;5;14;3000;3000;2000;3000;3000;2000;3000;2000
pc;ssd2;read;32;0;5;15;3000;3000;3000;3000;2000;3000;3000;3000
pc;ssd2;read;32;0;5;16;3000;3000;2000;3000;3000;3000;3000;3000
pc;ssd2;read;32;0;5;17;3000;2000;2000;2000;2000;3000;3000;3000
