equipment;device;operation;reqsize;cache;repetition;measurement;freq0;freq1;freq2;freq3;freq4;freq5;freq6;freq7
pc;hdd1;write;4096;0;4;13;3000;3000;2000;3000;3000;2000;3000;2000
pc;hdd1;write;4096;0;4;14;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;4096;0;4;15;3000;2000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;4096;0;4;16;3000;3000;2000;3000;3000;3000;3000;3000
pc;hdd1;write;4096;0;4;17;3000;2000;2000;2000;3000;2000;2000;2000
pc;hdd1;write;4096;0;4;18;2000;1000;2000;2000;2000;2000;2000;3000
pc;hdd1;write;4096;0;4;19;3000;2000;2000;2000;3000;2000;2000;988
pc;hdd1;write;4096;0;4;20;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;4096;0;4;21;1000;1000;3000;1000;1000;3000;1000;3000
pc;hdd1;write;4096;0;4;22;3000;1000;3000;3000;3000;2000;3000;3000
pc;hdd1;write;4096;0;4;23;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;4096;0;4;24;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;4096;0;4;25;3000;3000;2000;2000;3000;3000;3000;2000
pc;hdd1;write;4096;0;4;26;3000;1000;2000;3000;2000;2000;1000;3000
pc;hdd1;write;4096;0;4;27;3000;1000;2000;3000;3000;3000;3000;3000
pc;hdd1;write;4096;0;4;28;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;4096;0;4;29;3000;1000;3000;2000;3000;2000;3000;3000
pc;hdd1;write;4096;0;4;30;3000;3000;3000;3000;3000;3000;2000;3000
pc;hdd1;write;4096;0;4;31;3000;2000;3000;2000;3000;3000;3000;3000
pc;hdd1;write;4096;0;4;32;823;1000;1000;1000;812;991;1000;1000
pc;hdd1;write;4096;0;4;33;2000;1000;1000;1000;1000;1000;2000;1000
pc;hdd1;write;4096;0;4;34;3000;1000;3000;3000;3000;3000;2000;2000
pc;hdd1;write;4096;0;4;35;3000;1000;3000;2000;3000;3000;3000;3000
pc;hdd1;write;4096;0;4;36;2000;1000;3000;2000;1000;3000;1000;3000
pc;hdd1;write;4096;0;4;37;1000;900;2000;884;1000;1000;1000;2000
pc;hdd1;write;4096;0;4;38;1000;3000;2000;1000;928;1000;3000;2000
pc;hdd1;write;4096;0;4;39;3000;2000;2000;2000;3000;2000;3000;1000
pc;hdd1;write;4096;0;4;40;2000;1000;2000;3000;2000;3000;2000;3000
pc;hdd1;write;4096;0;4;41;3000;3000;2000;3000;2000;3000;3000;3000
pc;hdd1;write;4096;0;4;42;3000;900;2000;1000;896;829;1000;874
pc;hdd1;write;4096;0;4;43;1000;1000;2000;1000;812;1000;1000;1000
pc;hdd1;write;4096;0;4;44;900;3000;3000;2000;3000;3000;2000;1000
pc;hdd1;write;4096;0;4;45;1000;1000;3000;812;807;917;969;2000
pc;hdd1;write;4096;0;4;46;2000;1000;3000;1000;896;1000;982;2000
pc;hdd1;write;4096;0;4;47;1000;1000;1000;982;1000;1000;1000;1000
pc;hdd1;write;4096;0;4;48;3000;944;1000;2000;1000;2000;2000;1000
pc;hdd1;write;4096;0;4;49;2000;833;2000;1000;976;941;2000;905
pc;hdd1;write;4096;0;4;50;1000;1000;1000;1000;1000;2000;1000;1000
pc;hdd1;write;4096;0;4;51;1000;2000;2000;2000;3000;2000;3000;2000
pc;hdd1;write;4096;0;4;52;2000;1000;1000;1000;2000;2000;1000;3000
pc;hdd1;write;4096;0;4;53;2000;1000;2000;1000;1000;986;1000;2000
pc;hdd1;write;4096;0;4;54;3000;2000;2000;3000;3000;3000;3000;2000
pc;hdd1;write;4096;0;4;55;2000;2000;2000;2000;3000;3000;3000;2000
pc;hdd1;write;4096;0;4;56;3000;2000;3000;2000;3000;3000;2000;2000
pc;hdd1;write;4096;0;4;57;1000;2000;3000;1000;3000;3000;1000;2000
pc;hdd1;write;4096;0;4;58;2000;2000;3000;2000;2000;2000;3000;2000
pc;hdd1;write;4096;0;4;59;2000;2000;3000;2000;1000;2000;3000;3000
pc;hdd1;write;4096;0;4;60;3000;3000;2000;3000;3000;2000;2000;2000
pc;hdd1;read;4096;0;4;0;1000;1000;1000;995;907;1000;1000;2000
pc;hdd1;read;4096;0;4;1;1000;1000;1000;995;986;1000;918;1000
pc;hdd1;read;4096;0;4;2;916;815;1000;909;998;1000;1000;2000
pc;hdd1;read;4096;0;4;3;3000;2000;1000;2000;3000;2000;3000;2000
pc;hdd1;read;4096;0;4;4;1000;1000;3000;2000;3000;2000;3000;1000
pc;hdd1;read;4096;0;4;5;2000;1000;2000;1000;1000;992;1000;2000
pc;hdd1;read;4096;0;4;6;3000;3000;1000;3000;2000;1000;3000;3000
pc;hdd1;read;4096;0;4;7;1000;1000;1000;1000;1000;842;1000;2000
pc;hdd1;read;4096;0;4;8;1000;1000;2000;1000;1000;1000;1000;1000
pc;hdd1;read;4096;0;4;9;2000;994;1000;1000;896;1000;1000;2000
pc;hdd1;read;4096;0;4;10;2000;2000;1000;2000;1000;2000;1000;2000
