equipment;device;operation;reqsize;cache;repetition;measurement;rms1;rms2
PC;SSD2;write;4096;0;8;77;221.6;0.1968
PC;SSD2;write;4096;0;8;78;221.9;0.1964
PC;SSD2;write;4096;0;8;79;221.5;0.1851
PC;SSD2;write;4096;0;8;80;221.8;0.1979
PC;SSD2;write;4096;0;8;81;221.6;0.1962
PC;SSD2;write;4096;0;8;82;221.6;0.193
PC;SSD2;write;4096;0;8;83;221.8;0.1947
PC;SSD2;write;4096;0;8;84;221.6;0.1848
PC;SSD2;write;4096;0;8;85;221.4;0.1834
PC;SSD2;write;4096;0;8;86;221.9;0.1852
PC;SSD2;write;4096;0;8;87;221.8;0.1846
PC;SSD2;write;4096;0;8;88;221.6;0.1941
PC;SSD2;write;4096;0;8;89;221.8;0.1959
PC;SSD2;write;4096;0;8;90;221.7;0.1833
PC;SSD2;write;4096;0;8;91;221.5;0.198
PC;SSD2;write;4096;0;8;92;221.5;0.1956
PC;SSD2;write;4096;0;8;93;221.7;0.1966
PC;SSD2;write;4096;0;8;94;221.7;0.1948
PC;SSD2;write;4096;0;8;95;221.5;0.1843
PC;SSD2;write;4096;0;8;96;221.8;0.1962
PC;SSD2;write;4096;0;8;97;221.8;0.1967
PC;SSD2;write;4096;0;8;98;221.7;0.1965
PC;SSD2;write;4096;0;8;99;221.5;0.1981
PC;SSD2;write;4096;0;8;100;221.5;0.1958
PC;SSD2;write;4096;0;8;101;221.6;0.196
PC;SSD2;write;4096;0;8;102;221.9;0.1959
PC;SSD2;write;4096;0;8;103;221.6;0.1987
PC;SSD2;write;4096;0;8;104;221.8;0.1832
PC;SSD2;write;4096;0;8;105;221.5;0.1971
PC;SSD2;write;4096;0;8;106;221.6;0.1953
PC;SSD2;write;4096;0;8;107;221.6;0.1966
PC;SSD2;write;4096;0;8;108;221.8;0.196
PC;SSD2;write;4096;0;8;109;221.5;0.1857
PC;SSD2;write;4096;0;8;110;221.6;0.1954
PC;SSD2;write;4096;0;8;111;221.7;0.1986
PC;SSD2;write;4096;0;8;112;221.8;0.1955
PC;SSD2;write;4096;0;8;113;221.4;0.1968
PC;SSD2;write;4096;0;8;114;221.4;0.1847
PC;SSD2;write;4096;0;8;115;221.6;0.187
PC;SSD2;write;4096;0;8;116;221.6;0.1968
PC;SSD2;write;4096;0;8;117;221.8;0.1887
PC;SSD2;write;4096;0;8;118;222.1;0.1952
PC;SSD2;write;4096;0;8;119;221.9;0.1963
PC;SSD2;read;4096;0;8;0;221.2;0.176
PC;SSD2;read;4096;0;8;1;221.5;0.1755
PC;SSD2;read;4096;0;8;2;221.3;0.1755
PC;SSD2;read;4096;0;8;3;221.3;0.264
PC;SSD2;read;4096;0;8;4;221.5;0.1964
PC;SSD2;read;4096;0;8;5;221.4;0.1943
PC;SSD2;read;4096;0;8;6;220.9;0.195
PC;SSD2;read;4096;0;8;7;221.0;0.1928
PC;SSD2;read;4096;0;8;8;221.0;0.1938
PC;SSD2;read;4096;0;8;9;221.2;0.1939
PC;SSD2;read;4096;0;8;10;221.4;0.1939
PC;SSD2;read;4096;0;8;11;221.3;0.1915
PC;SSD2;read;4096;0;8;12;221.7;0.1919
PC;SSD2;read;4096;0;8;13;221.5;0.1943
PC;SSD2;read;4096;0;8;14;221.6;0.194
PC;SSD2;read;4096;0;8;15;221.3;0.1929
PC;SSD2;read;4096;0;8;16;221.3;0.1931
PC;SSD2;read;4096;0;8;17;221.5;0.1924
PC;SSD2;read;4096;0;8;18;221.3;0.1928
PC;SSD2;read;4096;0;8;19;221.4;0.1918
PC;SSD2;read;4096;0;8;20;221.4;0.1917
PC;SSD2;read;4096;0;8;21;221.6;0.193
PC;SSD2;read;4096;0;8;22;221.5;0.1928
PC;SSD2;read;4096;0;8;23;221.7;0.1935
PC;SSD2;read;4096;0;8;24;221.6;0.2634
PC;SSD2;read;4096;0;8;25;221.2;0.1901
PC;SSD2;read;4096;0;8;26;221.5;0.1941
PC;SSD2;read;4096;0;8;27;221.2;0.1933
PC;SSD2;read;4096;0;8;28;221.4;0.1925
PC;SSD2;read;4096;0;8;29;221.5;0.1969
PC;SSD2;read;4096;0;8;30;221.6;0.1924
PC;SSD2;read;4096;0;8;31;221.1;0.1925
PC;SSD2;read;4096;0;8;32;221.3;0.1933
PC;SSD2;read;4096;0;8;33;221.5;0.1939
PC;SSD2;read;4096;0;8;34;221.4;0.1916
PC;SSD2;read;4096;0;8;35;221.6;0.194
PC;SSD2;read;4096;0;8;36;221.3;0.1938
PC;SSD2;read;4096;0;8;37;221.3;0.1938
PC;SSD2;read;4096;0;8;38;221.2;0.1927
PC;SSD2;read;4096;0;8;39;221.4;0.1938
PC;SSD2;read;4096;0;8;40;221.5;0.1926
PC;SSD2;read;4096;0;8;41;221.4;0.1948
